codetype,code,text,
municipalno,629,"(Gammelt kommunenr.)",
municipalno,630,"Vejle",
municipalno,631,"(Gammelt kommunenr.)",
municipalno,651,"(Gammelt kommunenr.)",
municipalno,653,"(Gammelt kommunenr.)",
municipalno,655,"(Gammelt kommunenr.)",
municipalno,657,"Herning",
municipalno,659,"(Gammelt kommunenr.)",
municipalno,661,"Holstebro",
municipalno,663,"(Gammelt kommunenr.)",
municipalno,665,"Lemvig",
municipalno,667,"(Gammelt kommunenr.)",
municipalno,669,"(Gammelt kommunenr.)",
municipalno,671,"Struer",
municipalno,673,"(Gammelt kommunenr.)",
municipalno,675,"(Gammelt kommunenr.)",
municipalno,677,"(Gammelt kommunenr.)",
municipalno,679,"(Gammelt kommunenr.)",
municipalno,681,"(Gammelt kommunenr.)",
municipalno,683,"(Gammelt kommunenr.)",
municipalno,685,"(Gammelt kommunenr.)",
municipalno,701,"(Gammelt kommunenr.)",
municipalno,703,"(Gammelt kommunenr.)",
municipalno,705,"(Gammelt kommunenr.)",
municipalno,706,"Syddjurs",
municipalno,707,"Norddjurs",
municipalno,709,"(Gammelt kommunenr.)",
municipalno,710,"Favrskov",
municipalno,711,"(Gammelt kommunenr.)",
municipalno,713,"(Gammelt kommunenr.)",
municipalno,715,"(Gammelt kommunenr.)",
municipalno,717,"(Gammelt kommunenr.)",
municipalno,719,"(Gammelt kommunenr.)",
municipalno,721,"(Gammelt kommunenr.)",
municipalno,723,"(Gammelt kommunenr.)",
municipalno,725,"(Gammelt kommunenr.)",
municipalno,727,"Odder",
municipalno,729,"(Gammelt kommunenr.)",
municipalno,730,"Randers",
municipalno,731,"(Gammelt kommunenr.)",
municipalno,733,"(Gammelt kommunenr.)",
municipalno,735,"(Gammelt kommunenr.)",
municipalno,737,"(Gammelt kommunenr.)",
municipalno,739,"(Gammelt kommunenr.)",
municipalno,740,"Silkeborg",
municipalno,741,"Samsø",
municipalno,743,"(Gammelt kommunenr.)",
municipalno,745,"(Gammelt kommunenr.)",
municipalno,746,"Skanderborg",
municipalno,747,"(Gammelt kommunenr.)",
municipalno,749,"(Gammelt kommunenr.)",
municipalno,751,"Århus",
municipalno,756,"Ikast-Brande",
municipalno,760,"Ringkøbing-Skjern",
municipalno,761,"(Gammelt kommunenr.)",
municipalno,763,"(Gammelt kommunenr.)",
municipalno,765,"(Gammelt kommunenr.)",
municipalno,766,"Hedensted",
municipalno,767,"(Gammelt kommunenr.)",
municipalno,769,"(Gammelt kommunenr.)",
municipalno,771,"(Gammelt kommunenr.)",
municipalno,773,"Morsø",
municipalno,775,"(Gammelt kommunenr.)",
municipalno,777,"(Gammelt kommunenr.)",
municipalno,779,"Skive",
municipalno,781,"(Gammelt kommunenr.)",
municipalno,783,"(Gammelt kommunenr.)",
municipalno,785,"(Gammelt kommunenr.)",
municipalno,787,"Thisted",
municipalno,789,"(Gammelt kommunenr.)",
municipalno,791,"Viborg",
municipalno,793,"(Gammelt kommunenr.)",
municipalno,801,"(Gammelt kommunenr.)",
municipalno,803,"(Gammelt kommunenr.)",
municipalno,805,"(Gammelt kommunenr.)",
municipalno,807,"(Gammelt kommunenr.)",
municipalno,809,"(Gammelt kommunenr.)",
municipalno,810,"Brønderslev-Dronninglund",
municipalno,811,"(Gammelt kommunenr.)",
municipalno,813,"Frederikshavn",
municipalno,815,"(Gammelt kommunenr.)",
municipalno,817,"(Gammelt kommunenr.)",
municipalno,819,"(Gammelt kommunenr.)",
municipalno,820,"Vesthimmerlands",
municipalno,821,"(Gammelt kommunenr.)",
municipalno,823,"(Gammelt kommunenr.)",
municipalno,825,"Læsø",
municipalno,827,"(Gammelt kommunenr.)",
municipalno,829,"(Gammelt kommunenr.)",
municipalno,831,"(Gammelt kommunenr.)",
municipalno,833,"(Gammelt kommunenr.)",
municipalno,835,"(Gammelt kommunenr.)",
municipalno,837,"(Gammelt kommunenr.)",
municipalno,839,"(Gammelt kommunenr.)",
municipalno,840,"Rebild",
municipalno,841,"(Gammelt kommunenr.)",
municipalno,843,"(Gammelt kommunenr.)",
municipalno,845,"(Gammelt kommunenr.)",
municipalno,846,"Mariagerfjord",
municipalno,847,"(Gammelt kommunenr.)",
municipalno,849,"Jammerbugt",
municipalno,851,"Aalborg",
municipalno,860,"Hjørring",
municipalno,861,"(Gammelt kommunenr.)",
municipalno,901,"Qasigiannguit (Christianshåb)",
municipalno,903,"Aasiaat (Egedesminde)",
municipalno,905,"Paamiut (Frederikshåb)",
municipalno,907,"Qeqertarsuaq (Godhavn)",
